chave,nutriente,sintomas,local_de_ocorrencia,tipo,funcao_na_planta,mobilidade_solo,mobilidade_solo_comentario,mobilidade_planta,mobilidade_planta_comentario,correcao_da_deficiencia,fontes_naturais,interacoes_com_outros_nutrientes,faixa_otima_solo,faixa_otima_folha,indicadores_no_solo_planta,faixa_de_ph_ideal_no_solo,tipo_de_solo_ideal,aplicacao_no_solo,fertirrigacao,aplicacao_foliar
nitrogenio,Nitrogênio (N),Crescimento lento e reduzido,Toda planta,Macro,Formação de clorofila Crescimento vegetativo Produção de proteínas Desenvolvimento de flores e frutos,Nitrato - Alta mobilidade / Amônio - Baixa mobilidade,Nitrato (NO₃⁻): Muito solúvel e facilmente lixiviado / Amônio (NH₄⁺): Baixa mobilidade – Retido pelas cargas negativas do solo mas pode ser nitrificado,Alta mobilidade,Redistribuído para tecidos jovens; deficiências aparecem primeiro nas folhas mais velhas.,Aplicar ureia ou sulfato de amônia,Matéria orgânica decomposta,Alta interação com enxofre e potássio,25 - 35,25 - 40,Análise foliar e do solo,6.0 - 7.5,Solos bem drenados e ricos em matéria orgânica (como solos argilosos e solo de cultura).,Sim,Sim,Sim
nitrogenio,Nitrogênio (N),Folhas menores e mais finas,Toda planta,Macro,Formação de clorofila Crescimento vegetativo Produção de proteínas Desenvolvimento de flores e frutos,Nitrato - Alta mobilidade / Amônio - Baixa mobilidade,Nitrato (NO₃⁻): Muito solúvel e facilmente lixiviado / Amônio (NH₄⁺): Baixa mobilidade – Retido pelas cargas negativas do solo mas pode ser nitrificado,Alta mobilidade,Redistribuído para tecidos jovens; deficiências aparecem primeiro nas folhas mais velhas.,Aplicar ureia ou sulfato de amônia,Matéria orgânica decomposta,Alta interação com enxofre e potássio,25 - 35,25 - 40,Análise foliar e do solo,6.0 - 7.5,Solos bem drenados e ricos em matéria orgânica (como solos argilosos e solo de cultura).,Sim,Sim,Sim
nitrogenio,Nitrogênio (N),Queda prematura de folhas,Toda planta,Macro,Formação de clorofila Crescimento vegetativo Produção de proteínas Desenvolvimento de flores e frutos,Nitrato - Alta mobilidade / Amônio - Baixa mobilidade,Nitrato (NO₃⁻): Muito solúvel e facilmente lixiviado / Amônio (NH₄⁺): Baixa mobilidade – Retido pelas cargas negativas do solo mas pode ser nitrificado,Alta mobilidade,Redistribuído para tecidos jovens; deficiências aparecem primeiro nas folhas mais velhas.,Aplicar ureia ou sulfato de amônia,Matéria orgânica decomposta,Alta interação com enxofre e potássio,25 - 35,25 - 40,Análise foliar e do solo,6.0 - 7.5,Solos bem drenados e ricos em matéria orgânica (como solos argilosos e solo de cultura).,Sim,Sim,Sim
nitrogenio,Nitrogênio (N),Redução da produção de frutos e flores,Toda planta,Macro,Formação de clorofila Crescimento vegetativo Produção de proteínas Desenvolvimento de flores e frutos,Nitrato - Alta mobilidade / Amônio - Baixa mobilidade,Nitrato (NO₃⁻): Muito solúvel e facilmente lixiviado / Amônio (NH₄⁺): Baixa mobilidade – Retido pelas cargas negativas do solo mas pode ser nitrificado,Alta mobilidade,Redistribuído para tecidos jovens; deficiências aparecem primeiro nas folhas mais velhas.,Aplicar ureia ou sulfato de amônia,Matéria orgânica decomposta,Alta interação com enxofre e potássio,25 - 35,25 - 40,Análise foliar e do solo,6.0 - 7.5,Solos bem drenados e ricos em matéria orgânica (como solos argilosos e solo de cultura).,Sim,Sim,Sim
nitrogenio,Nitrogênio (N),Tonalidade pálida,Toda planta,Macro,Formação de clorofila Crescimento vegetativo Produção de proteínas Desenvolvimento de flores e frutos,Nitrato - Alta mobilidade / Amônio - Baixa mobilidade,Nitrato (NO₃⁻): Muito solúvel e facilmente lixiviado / Amônio (NH₄⁺): Baixa mobilidade – Retido pelas cargas negativas do solo mas pode ser nitrificado,Alta mobilidade,Redistribuído para tecidos jovens; deficiências aparecem primeiro nas folhas mais velhas.,Aplicar ureia ou sulfato de amônia,Matéria orgânica decomposta,Alta interação com enxofre e potássio,25 - 35,25 - 40,Análise foliar e do solo,6.0 - 7.5,Solos bem drenados e ricos em matéria orgânica (como solos argilosos e solo de cultura).,Sim,Sim,Sim
potassio,Potássio (K),Clorose,Folhas Velhas,Macro,Regulação osmótica Síntese de proteínas Atividade enzimática Fortalecimento da parede celular,Moderada mobilidade,Solúvel mas pode ser adsorvido por partículas de argila especialmente em solos com alta CTC ,Alta mobilidade,Facilmente transportado e redistribuído concentrando-se nos tecidos jovens e em processos osmóticos.,Aplicar cloreto de potássio (KCl),Cinzas vegetais,Antagonismo com cálcio e magnésio,20-40,25 - 50,Diagnóstico foliar,6.0 - 7.0,Solos com boa estrutura e capacidade de retenção de nutrientes (como solos argilosos e solos loam).,Sim,Sim,Sim
potassio,Potássio (K),Enfraquecimento da planta,Toda planta,Macro,Regulação osmótica Síntese de proteínas Atividade enzimática Fortalecimento da parede celular,Moderada mobilidade,Solúvel mas pode ser adsorvido por partículas de argila especialmente em solos com alta CTC ,Alta mobilidade,Facilmente transportado e redistribuído concentrando-se nos tecidos jovens e em processos osmóticos.,Aplicar cloreto de potássio (KCl),Cinzas vegetais,Antagonismo com cálcio e magnésio,20-40,25 - 50,Diagnóstico foliar,6.0 - 7.0,Solos com boa estrutura e capacidade de retenção de nutrientes (como solos argilosos e solos loam).,Sim,Sim,Sim
potassio,Potássio (K),Necrose nas extremidades das folhas,Toda planta,Macro,Regulação osmótica Síntese de proteínas Atividade enzimática Fortalecimento da parede celular,Moderada mobilidade,Solúvel mas pode ser adsorvido por partículas de argila especialmente em solos com alta CTC ,Alta mobilidade,Facilmente transportado e redistribuído concentrando-se nos tecidos jovens e em processos osmóticos.,Aplicar cloreto de potássio (KCl),Cinzas vegetais,Antagonismo com cálcio e magnésio,20-40,25 - 50,Diagnóstico foliar,6.0 - 7.0,Solos com boa estrutura e capacidade de retenção de nutrientes (como solos argilosos e solos loam).,Sim,Sim,Sim
potassio,Potássio (K),Queda prematura de folhas,Toda planta,Macro,Regulação osmótica Síntese de proteínas Atividade enzimática Fortalecimento da parede celular,Moderada mobilidade,Solúvel mas pode ser adsorvido por partículas de argila especialmente em solos com alta CTC ,Alta mobilidade,Facilmente transportado e redistribuído concentrando-se nos tecidos jovens e em processos osmóticos.,Aplicar cloreto de potássio (KCl),Cinzas vegetais,Antagonismo com cálcio e magnésio,20-40,25 - 50,Diagnóstico foliar,6.0 - 7.0,Solos com boa estrutura e capacidade de retenção de nutrientes (como solos argilosos e solos loam).,Sim,Sim,Sim
zinco,Zinco (Zn),Clorose,Toda planta,Micro,Crescimento e divisão celular Síntese de proteínas Regulação do metabolismo Formação de hormônios,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica especialmente em solos com pH elevado,Baixa mobilidade,Não é facilmente redistribuído; sintomas de deficiência surgem nas folhas jovens.,Aplicar sulfato de zinco,Solos com alto teor de minerais,Antagonismo com fósforo,20-50,15 - 50,Análise do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (como solos orgânicos solos argilosos e solos ácidos).,Sim,Não,Sim
zinco,Zinco (Zn),"Deformações Folhas, flores ou frutos",Toda planta,Micro,Crescimento e divisão celular Síntese de proteínas Regulação do metabolismo Formação de hormônios,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica especialmente em solos com pH elevado,Baixa mobilidade,Não é facilmente redistribuído; sintomas de deficiência surgem nas folhas jovens.,Aplicar sulfato de zinco,Solos com alto teor de minerais,Antagonismo com fósforo,20-50,15 - 50,Análise do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (como solos orgânicos solos argilosos e solos ácidos).,Sim,Não,Sim
zinco,Zinco (Zn),Encurtamento de entrenós,Toda planta,Micro,Crescimento e divisão celular Síntese de proteínas Regulação do metabolismo Formação de hormônios,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica especialmente em solos com pH elevado,Baixa mobilidade,Não é facilmente redistribuído; sintomas de deficiência surgem nas folhas jovens.,Aplicar sulfato de zinco,Solos com alto teor de minerais,Antagonismo com fósforo,20-50,15 - 50,Análise do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (como solos orgânicos solos argilosos e solos ácidos).,Sim,Não,Sim
zinco,Zinco (Zn),Folhas menores e mais finas,Toda planta,Micro,Crescimento e divisão celular Síntese de proteínas Regulação do metabolismo Formação de hormônios,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica especialmente em solos com pH elevado,Baixa mobilidade,Não é facilmente redistribuído; sintomas de deficiência surgem nas folhas jovens.,Aplicar sulfato de zinco,Solos com alto teor de minerais,Antagonismo com fósforo,20-50,15 - 50,Análise do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (como solos orgânicos solos argilosos e solos ácidos).,Sim,Não,Sim
